headline,publication_date,section_name
Mumbai World One Tower flats go on sale in London – for a price,2015-02-16 12:56:42+00:00,Money
"Big six profits growing despite gas price cuts for households, regulator says",2015-01-27 13:50:49+00:00,Money
Sellers pay the price as eBay fails to deliver on its promises,2015-01-24 07:00:01+00:00,Money
Big six energy companies slammed for not passing on price cuts,2015-01-07 15:01:21+00:00,Money
The cheapest flat in London? Clapton 'studio' on sale for £75k,2015-12-24 14:20:08+00:00,Money
Halifax sees April house prices rising by 1.6%,2015-05-08 08:22:50+00:00,Money
UK house prices 'will rise 25% in next five years',2015-06-10 23:01:06+00:00,Money
UK house prices edge up in July as stamp duty revenue falls,2015-08-04 08:12:06+00:00,Money
House prices fall 0.8% in March as sales slow,2015-04-30 11:21:31+00:00,Money
Average UK flat value rises 60% in past decade,2015-09-23 06:01:00+00:00,Money
"Money Talks: London house prices cost economy £1bn, and beware cold calls from scammers",2015-10-15 14:08:31+00:00,Money
Sky raises sports and entertainment package prices,2015-03-19 13:09:35+00:00,Money
